user_id,restaurant_id,interaction_type,strength
0,24,cart,2
0,61,view,1
0,14,view,1
0,23,view,1
0,36,view,1
0,45,order,3
0,47,view,1
0,14,view,1
0,84,view,1
0,25,view,1
0,24,order,3
0,23,cart,2
0,84,cart,2
0,48,view,1
0,45,view,1
0,61,order,3
0,14,view,1
0,71,view,1
0,61,order,3
0,45,cart,2
0,25,view,1
0,61,order,3
0,12,view,1
0,5,view,1
0,61,view,1
0,71,view,1
0,45,cart,2
1,20,cart,2
1,29,view,1
1,91,view,1
1,20,view,1
1,17,order,3
1,5,order,3
1,34,cart,2
1,44,view,1
1,76,view,1
1,44,view,1
1,20,order,3
1,32,view,1
1,100,view,1
1,17,order,3
1,82,view,1
1,33,cart,2
1,5,cart,2
2,42,view,1
2,55,view,1
2,98,cart,2
2,99,view,1
2,76,view,1
2,20,cart,2
2,40,view,1
2,76,view,1
2,6,view,1
2,32,view,1
2,42,view,1
2,17,view,1
2,73,view,1
2,17,cart,2
2,74,view,1
2,91,view,1
3,62,view,1
3,15,view,1
3,63,view,1
3,79,view,1
3,44,view,1
3,75,cart,2
3,44,view,1
3,79,view,1
3,16,view,1
3,16,view,1
3,22,view,1
3,63,view,1
3,16,view,1
3,48,cart,2
3,44,order,3
3,48,view,1
3,16,view,1
3,22,view,1
3,79,view,1
3,5,view,1
3,15,view,1
3,5,view,1
3,93,view,1
3,95,view,1
3,93,cart,2
4,96,view,1
4,89,cart,2
4,72,view,1
4,18,view,1
4,92,order,3
4,33,view,1
4,13,view,1
4,83,view,1
4,41,view,1
4,72,cart,2
4,33,view,1
4,41,view,1
4,18,view,1
4,33,view,1
4,89,view,1
4,33,cart,2
4,35,view,1
4,92,view,1
4,13,view,1
4,35,view,1
5,95,view,1
5,68,view,1
5,73,view,1
5,95,view,1
5,95,view,1
5,54,view,1
5,60,view,1
5,51,view,1
5,68,view,1
5,58,view,1
5,62,cart,2
5,67,view,1
5,40,cart,2
5,44,cart,2
5,40,view,1
5,60,view,1
5,68,view,1
5,73,view,1
5,43,view,1
5,68,view,1
5,10,view,1
5,58,view,1
5,68,view,1
5,74,view,1
5,67,cart,2
5,58,cart,2
5,82,order,3
5,95,view,1
6,5,view,1
6,62,view,1
6,22,cart,2
6,22,view,1
6,93,view,1
6,22,view,1
6,44,view,1
6,2,cart,2
6,43,view,1
6,94,view,1
6,15,view,1
6,44,view,1
6,28,view,1
6,63,view,1
6,22,view,1
6,75,cart,2
6,16,cart,2
6,44,view,1
6,34,view,1
6,5,cart,2
6,36,view,1
6,63,view,1
6,44,order,3
6,62,view,1
6,75,view,1
7,65,view,1
7,57,view,1
7,8,view,1
7,48,view,1
7,36,view,1
7,31,view,1
7,13,view,1
7,41,view,1
7,8,view,1
7,13,view,1
7,35,cart,2
